,ukraine_actual_yoy,counterfactual_factor_model,ea_common_factor_pct,ea_mean_hicp,counterfactual_svar
2021-07-01,10.232860012795197,8.573732240782201,1.8501580271127778,1.8090909090909089,
2021-08-01,10.232860012795197,9.581614476963587,2.705683623630825,2.6818181818181817,
2021-09-01,11.000651077560963,9.948829132415419,3.0173882314487734,2.9909090909090907,
2021-10-01,10.89074944283066,10.882960362543837,3.810311401629468,3.8000000000000003,
2021-11-01,10.343411094149424,11.871144873649225,4.6491168820558375,4.672727272727272,
2021-12-01,10.015333558686091,11.991116131693111,4.750952670423223,4.8,
2022-01-01,10.015333558686134,12.540971183196,5.217688816818417,5.300000000000001,
2022-02-01,10.668889995668419,13.46021273042192,5.997973104806497,6.054545454545456,
2022-03-01,13.71582108699454,15.195341867701323,7.470811236998411,7.554545454545454,
2022-04-01,16.426029335344005,15.396438136117325,7.641508763770965,7.7272727272727275,
2022-05-01,18.03507613760935,16.185480777124265,8.311275678885194,8.372727272727273,
2022-06-01,21.451260975923383,17.10681024298003,9.093332265031883,9.145454545454546,
2022-07-01,22.179240562192692,17.477993125502508,9.408405242397247,9.463636363636363,
2022-08-01,23.77075371580841,17.637985838963477,9.544212638051755,9.627272727272727,
2022-09-01,24.62687553004821,18.508466492250346,10.28310697850786,10.41818181818182,
2022-10-01,26.60311934420154,18.991108379598547,10.692790246805739,10.727272727272727,
2022-11-01,26.477521011518856,18.050111322073267,9.894039122853835,9.799999999999999,
2022-12-01,26.603244193438847,17.23473508308403,9.201919331269007,9.109090909090908,
2023-01-01,25.978351576491953,16.375775389054724,8.47280438287624,8.318181818181818,
2023-02-01,24.862401611739603,16.126255571219144,8.26100325836625,8.081818181818182,
2023-03-01,21.277835058292528,14.291204798201246,6.70334815654094,6.490909090909091,
2023-04-01,17.86652834957241,14.097201396762546,6.5386713026545085,6.309090909090909,
2023-05-01,15.341636797780112,13.146196911606534,5.7314255250753785,5.572727272727271,
2023-06-01,12.768544997247755,12.217046797946285,4.9427305002918125,4.781818181818182,
2023-07-01,11.312744515654671,11.990301029176628,4.750260782976849,4.6,
2023-08-01,8.560203850084559,11.966030898793688,4.729659449777344,4.554545454545454,
2023-09-01,7.068699577365067,10.98488665167617,3.8968299909848985,3.6636363636363636,
2023-10-01,5.292926023398947,9.578349468293634,2.7029121703898373,2.545454545454546,
2023-11-01,5.08380402533859,9.048793357194722,2.25340647262681,2.1727272727272724,
2023-12-01,5.083804025338612,9.60519352804676,2.7256983446161747,2.6363636363636362,
2024-01-01,4.666804803015756,9.562272387069143,2.6892653830856337,2.6636363636363636,
2024-02-01,4.251047882249082,9.481022230527909,2.620297416247081,2.6090909090909093,
2024-03-01,3.2239439622269384,9.401790918388942,2.553043114953495,2.590909090909091,
2024-04-01,3.2239439622269384,9.319369783438788,2.4830811807982878,2.5181818181818185,
2024-05-01,3.326654354229164,9.536656257736848,2.6675215190301196,2.6818181818181817,
2024-06-01,4.761746775815667,9.463212545117711,2.605179934077652,2.6363636363636362,
2024-07-01,5.394111444482541,9.49308875998905,2.630539907328438,2.6636363636363636,
2024-08-01,7.531923035648536,9.022007905059167,2.230670046590474,2.272727272727273,
2024-09-01,8.60189241908782,8.643077078320124,1.9090203439295232,1.9727272727272727,
2024-10-01,9.679292145467677,8.882645718701475,2.112374561924082,2.1545454545454548,
2024-11-01,11.207162881822462,9.167960774547323,2.354559932977858,2.4,
2024-12-01,11.980201749918562,9.323089584247239,2.4862386774693617,2.5272727272727273,
2025-01-01,12.872474273822299,9.481881597635628,2.621026877022425,2.6545454545454543,
2025-02-01,13.435148622146432,9.280774891832909,2.450320490631975,2.5272727272727273,
2025-03-01,14.563856568635437,9.110887986575706,2.3061145598761756,2.381818181818182,
2025-04-01,15.135532499616723,9.134764366197121,2.326381663695461,2.4000000000000004,
2025-05-01,15.93667437585653,8.823357956715295,2.062049041621611,2.1363636363636362,
2025-06-01,14.348500754269434,8.997858251917693,2.2101709786757127,2.281818181818182,
2025-07-01,14.119803752760895,9.056519319281117,2.2599645387235814,2.3272727272727276,
2025-08-01,13.2122904028384,9.118371180561283,2.312466555941337,2.3636363636363638,
2025-09-01,11.873819974430443,9.196976655831747,2.379189625072051,2.4090909090909087,
2025-10-01,10.884758697642717,8.997444491074871,2.209819764040546,2.2636363636363637,
2025-11-01,9.252500228099446,9.135682607108329,2.3271610986086952,2.4000000000000004,
